Date Time,Open,High,Low,Close,Volume
2012-01-04,734.74,737.91,707.11,707.11,1387122.0
2012-01-05,700.32,701.04,665.41,666.91,1876828.0
2012-01-06,662.65,672.13,645.8,669.02,1588642.0
2012-01-09,667.85,692.42,657.18,692.42,1998605.0
2012-01-10,691.65,718.29,690.5,716.45,2641541.0
2012-01-11,715.04,728.66,710.53,717.94,2398661.0
2012-01-12,715.82,724.08,708.67,709.89,2039241.0
2012-01-13,709.05,709.63,665.26,666.08,2437038.0
2012-01-16,657.8,657.8,633.31,633.91,1715965.0
2012-01-17,630.78,664.7,623.64,662.69,2320858.0
2012-01-18,662.94,665.6,621.67,624.91,2397408.0
2012-01-19,621.65,637.02,612.28,632.8,2373548.0
2012-01-20,634.83,648.14,634.57,646.38,1991004.0
2012-01-30,649.42,660.06,644.88,651.25,1888782.0
2012-01-31,649.37,650.49,637.43,648.68,1667052.0
2012-02-01,647.49,663.27,644.58,650.78,1820180.0
2012-02-02,652.06,665.4,652.06,665.4,2046427.0
2012-02-03,665.35,681.89,663.01,680.04,2469846.0
2012-02-06,681.04,689.96,680.7,686.51,2429644.0
2012-02-07,683.88,683.88,669.54,673.68,1959504.0
2012-02-08,673.07,692.3,669.62,692.3,2383241.0
2012-02-09,692.36,705.7,690.68,697.79,3000273.0
2012-02-10,696.53,703.09,693.75,698.85,2382072.0
2012-02-13,694.23,718.67,690.53,714.96,2831076.0
2012-02-14,714.75,717.77,707.97,712.3,2025768.0
2012-02-15,711.62,724.75,707.14,724.75,2796475.0
2012-02-16,723.43,731.45,714.4,721.83,2768747.0
2012-02-17,722.62,726.94,709.23,717.8,2226608.0
2012-02-20,726.88,731.41,720.97,721.1,2884922.0
2012-02-21,719.29,736.88,713.65,736.88,3231170.0
2012-02-22,737.78,759.56,737.78,759.56,4398450.0
2012-02-23,760.67,765.41,748.61,756.9,3752906.0
2012-02-24,756.16,764.74,755.19,762.29,3429740.0
2012-02-27,763.96,771.29,760.24,760.37,3847555.0
2012-02-28,757.45,758.17,737.37,747.77,3824576.0
2012-02-29,747.22,748.09,734.24,735.34,2824152.0
2012-03-01,734.25,748.8,733.78,743.15,2622951.0
2012-03-02,743.85,757.67,743.85,757.67,2560550.0
2012-03-05,759.65,766.75,758.83,759.37,2984708.0
2012-03-06,758.08,758.72,743.6,750.84,2997018.0
2012-03-07,743.05,759.45,740.61,749.27,2786303.0
2012-03-08,751.98,764.0,751.98,761.7,2690691.0
2012-03-09,764.48,777.69,763.72,777.69,3355463.0
2012-03-12,779.51,786.05,778.51,786.05,3501076.0
2012-03-13,785.53,792.38,782.94,792.38,3723566.0
2012-03-14,795.12,799.83,750.12,756.46,5353884.0
2012-03-15,754.53,759.53,735.09,746.44,3447232.0
2012-03-16,748.05,765.56,745.35,765.56,2928495.0
2012-03-19,764.95,779.56,763.36,779.56,2968754.0
2012-03-20,777.39,777.39,755.4,755.58,2842605.0
2012-03-21,758.89,761.34,737.99,751.79,2710929.0
2012-03-22,750.45,756.35,744.89,750.85,2022854.0
2012-03-23,748.87,750.69,735.15,737.89,1982044.0
2012-03-26,735.16,742.26,731.31,737.21,1617928.0
2012-03-27,739.44,745.83,733.84,735.73,1925252.0
2012-03-28,732.68,732.68,697.51,698.49,2473956.0
2012-03-29,692.37,695.96,676.99,683.96,1920466.0
2012-03-30,682.28,686.5,673.49,678.52,1806301.0
2012-04-05,677.76,698.3,676.51,697.75,1999154.0
2012-04-06,697.86,705.38,695.65,701.9,2017841.0
2012-04-09,699.87,701.59,689.72,689.72,1547976.0
2012-04-10,686.47,697.16,672.98,697.16,1821560.0
2012-04-11,689.85,701.93,685.75,698.49,1612592.0
2012-04-12,699.42,713.25,697.74,713.12,2060379.0
2012-04-13,715.04,723.89,714.24,718.96,2267802.0
2012-04-16,714.85,719.88,712.02,716.23,1720515.0
2012-04-17,716.53,718.46,708.4,709.14,1833195.0
2012-04-18,710.14,724.03,710.1,723.46,2365954.0
2012-04-19,723.83,728.46,721.59,725.12,2341325.0
2012-04-20,724.13,728.72,720.83,728.72,2177590.0
2012-04-23,724.9,724.9,689.44,690.43,3718097.0
2012-04-24,680.61,689.88,663.92,681.53,2876579.0
2012-04-25,679.75,684.48,674.54,682.52,2008001.0
2012-04-26,683.02,685.82,673.94,678.44,1781758.0
2012-04-27,677.55,689.1,676.07,685.13,1878033.0
2012-05-02,692.35,696.42,686.18,693.61,2088850.0
2012-05-03,693.4,699.41,690.76,699.31,1952624.0
2012-05-04,699.88,713.84,699.88,713.19,2618381.0
2012-05-07,710.98,733.04,709.87,733.04,3094281.0
2012-05-08,733.83,738.52,730.55,731.72,3024633.0
2012-05-09,727.6,727.7,718.72,719.35,2538302.0
2012-05-10,718.24,730.78,718.24,727.28,2353337.0
2012-05-11,726.56,730.83,720.93,721.08,2720669.0
2012-05-14,725.52,729.67,717.94,719.87,2657401.0
2012-05-15,714.58,720.21,709.63,720.11,2391654.0
2012-05-16,718.71,722.21,709.88,709.96,1981754.0
2012-05-17,709.5,718.44,703.92,716.17,2017023.0
2012-05-18,711.69,717.27,705.25,706.22,2557588.0
2012-05-21,705.86,709.68,698.8,704.8,2161907.0
2012-05-22,706.92,714.91,706.92,714.66,1829924.0
2012-05-23,715.03,717.2,705.2,713.02,2437692.0
2012-05-24,711.68,718.02,710.07,712.58,2625562.0
2012-05-25,713.04,714.9,700.62,702.72,2275968.0
2012-05-28,699.64,707.49,686.07,706.47,2315363.0
2012-05-29,705.78,721.72,704.2,720.45,2779760.0
2012-05-30,720.57,731.28,719.14,727.19,3310317.0
2012-05-31,724.46,740.49,721.71,734.45,3509504.0
2012-06-01,733.62,739.93,730.0,734.26,3140151.0
2012-06-04,721.68,734.26,717.04,717.1,3231516.0
2012-06-05,718.11,721.57,713.58,715.93,2066623.0
2012-06-06,717.13,722.36,711.19,715.24,1978215.0
2012-06-07,721.56,725.29,709.17,711.43,2160354.0
2012-06-08,716.42,721.36,710.27,713.92,2485741.0
2012-06-11,714.12,734.5,714.12,734.5,3160248.0
2012-06-12,731.04,739.02,729.71,735.29,3130937.0
2012-06-13,735.6,746.51,735.6,746.51,3377576.0
2012-06-14,745.76,750.28,739.91,740.97,3017553.0
2012-06-15,742.38,747.3,733.33,742.27,2996475.0
2012-06-18,744.05,753.77,744.05,752.98,3343200.0
2012-06-19,751.27,752.77,746.09,747.49,2973758.0
2012-06-20,747.64,751.9,746.03,748.39,2569042.0
2012-06-21,746.61,746.61,732.17,739.05,2969750.0
2012-06-25,736.18,736.18,720.47,720.6,2556498.0
2012-06-26,716.3,719.33,703.03,715.92,2218002.0
2012-06-27,715.52,728.54,715.38,718.93,2261525.0
2012-06-28,719.09,723.07,710.9,711.14,2377029.0
2012-06-29,708.11,726.68,705.86,726.68,2397424.0
2012-07-02,730.77,744.96,730.76,741.19,2548603.0
2012-07-03,742.2,751.36,739.92,743.9,2892437.0
2012-07-04,744.7,747.84,736.9,739.62,2589712.0
2012-07-05,738.49,738.49,721.36,724.31,2533026.0
2012-07-06,727.68,737.69,712.44,737.29,2991602.0
2012-07-09,733.66,737.79,721.6,722.28,2915269.0
2012-07-10,719.89,721.81,710.73,713.53,2638456.0
2012-07-11,710.89,719.3,706.72,719.3,1931986.0
2012-07-12,718.62,735.7,717.2,734.32,2786165.0
2012-07-13,731.49,736.46,722.65,725.79,2674352.0
2012-07-16,722.82,722.82,691.23,691.39,3158424.0
2012-07-17,687.74,697.0,686.11,697.0,2018811.0
2012-07-18,695.92,702.17,684.3,702.14,2092447.0
2012-07-19,701.23,714.92,698.47,709.17,2463494.0
2012-07-20,707.83,714.15,704.87,706.25,1842272.0
2012-07-23,703.2,708.21,697.69,704.57,1659013.0
2012-07-24,700.58,712.1,698.39,706.4,1732850.0
2012-07-25,704.7,715.97,703.35,708.3,2053529.0
2012-07-26,707.77,717.76,704.97,706.72,1813329.0
2012-07-27,707.97,711.57,698.18,703.58,1834960.0
2012-07-30,703.7,707.63,685.84,688.47,2027288.0
2012-07-31,686.54,687.69,672.28,676.96,1890912.0
2012-08-01,677.53,694.54,676.34,689.49,1670655.0
2012-08-02,688.33,694.83,684.2,690.98,1779645.0
2012-08-03,691.79,711.93,690.26,711.92,2186007.0
2012-08-06,708.26,731.39,706.83,730.42,2790921.0
2012-08-07,729.63,737.58,729.44,736.01,2680530.0
2012-08-08,734.88,734.88,723.98,730.07,2114193.0
2012-08-09,729.5,743.23,727.7,743.2,2304298.0
2012-08-10,743.28,744.84,736.55,743.07,2108351.0
2012-08-13,742.38,742.38,726.93,727.64,2134268.0
2012-08-14,726.84,736.45,714.65,736.35,2215480.0
2012-08-15,734.87,736.28,728.49,729.73,1734962.0
2012-08-16,728.66,730.13,720.72,723.53,1483162.0
2012-08-17,721.33,723.2,714.02,721.05,1754434.0
2012-08-20,718.14,732.67,713.15,730.87,2212016.0
2012-08-21,730.29,752.78,729.99,748.93,3295566.0
2012-08-22,749.0,756.53,743.61,746.85,3092567.0
2012-08-23,745.47,751.71,741.38,750.56,3214691.0
2012-08-24,747.72,750.35,733.31,733.31,2813315.0
2012-08-27,731.67,731.67,721.2,722.57,2844780.0
2012-08-28,720.83,733.13,717.53,727.62,2444962.0
2012-08-29,726.7,736.74,722.82,726.94,2654244.0
2012-08-30,727.21,729.05,692.14,704.03,3275497.0
2012-08-31,701.37,710.02,698.62,706.62,2144850.0
2012-09-03,703.81,725.17,701.7,723.87,2542487.0
2012-09-04,724.7,732.36,721.52,722.72,2734247.0
2012-09-05,721.07,732.77,719.34,730.62,2682384.0
2012-09-06,732.46,739.74,731.24,739.74,2815718.0
2012-09-07,744.65,764.45,744.24,759.46,5181944.0
2012-09-10,759.69,765.31,756.03,762.31,4595394.0
2012-09-11,761.55,762.51,756.77,761.73,4505682.0
2012-09-12,763.04,766.52,754.32,762.51,3706875.0
2012-09-13,761.78,764.36,749.89,749.89,3776055.0
2012-09-14,753.6,756.2,738.95,744.46,3157627.0
2012-09-17,742.69,742.69,724.15,724.15,2463543.0
2012-09-18,722.38,730.36,720.45,723.61,1929887.0
2012-09-19,724.89,730.3,723.64,728.25,1897239.0
2012-09-20,727.96,727.96,704.91,706.69,2926272.0
2012-09-21,703.42,706.52,689.53,691.14,2504186.0
2012-09-24,685.99,695.19,678.35,690.34,2107950.0
2012-09-25,688.21,693.76,680.65,682.34,1851505.0
2012-09-26,680.47,682.67,660.12,661.49,1862352.0
2012-09-27,662.78,680.48,662.78,676.96,2265339.0
2012-09-28,674.19,691.06,671.61,689.64,2064365.0
2012-10-08,690.35,693.64,686.27,690.77,1518723.0
2012-10-09,691.39,712.78,691.39,712.7,2537913.0
2012-10-10,712.15,722.52,709.92,721.85,2848979.0
2012-10-11,720.39,724.7,711.63,711.8,2735265.0
2012-10-12,711.83,721.26,700.97,708.87,2461294.0
2012-10-15,706.23,707.13,694.12,701.96,2388776.0
2012-10-16,700.94,711.87,698.97,705.39,2205265.0
2012-10-17,706.09,711.41,701.64,709.09,1997252.0
2012-10-18,709.29,721.68,709.29,720.52,2479401.0
2012-10-19,720.85,722.61,715.92,719.45,2009496.0
2012-10-22,716.53,724.29,714.7,724.28,1856933.0
2012-10-23,723.83,725.38,710.55,711.26,2277535.0
2012-10-24,707.3,713.96,704.41,707.75,1967415.0
2012-10-25,707.88,710.98,696.45,697.44,2122783.0
2012-10-26,695.89,697.46,680.91,685.33,2032759.0
2012-10-29,684.34,691.6,682.76,688.12,1521226.0
2012-10-30,688.51,694.67,687.79,689.61,1460902.0
2012-10-31,689.62,691.65,685.05,691.65,1519267.0
2012-11-01,692.06,702.95,692.06,701.78,2200925.0
2012-11-02,702.03,703.13,697.06,701.38,1669260.0
2012-11-05,700.11,703.46,690.94,692.87,1986558.0
2012-11-06,693.36,693.37,679.96,690.5,2244632.0
